true_label,predicted,prob_noncompliant
0,0,0.00015931
0,1,0.9249241
0,0,0.00050157256
1,0,0.0008202853
0,0,1.2912063e-05
0,0,3.8640243e-05
0,0,0.005865277
0,0,0.00017101051
0,0,0.00013467108
0,0,2.5605723e-05
0,0,0.0030855355
0,1,0.92543906
0,0,0.0005546546
1,0,0.19924003
0,0,0.0004411291
0,0,0.10109273
0,0,0.00022588817
0,0,0.0026115505
0,0,0.00018214036
0,0,1.5179629e-05
1,1,0.9593722
0,0,0.01901194
0,0,0.0005006887
1,1,0.8534266
1,1,0.97739124
0,0,0.0009549728
0,0,0.2604646
0,0,0.0010027162
0,1,0.6100501
0,1,0.98178345
0,0,4.083678e-05
1,0,0.0115691805
0,0,0.0007888908
0,0,0.00015215106
0,0,0.0050810277
0,0,4.6159377e-07
0,0,5.236331e-05
0,0,7.0839637e-06
0,0,0.00025109388
1,1,0.9933774
0,0,0.005669292
0,0,0.0052453196
0,0,0.09713817
0,0,0.019072155
0,0,0.047575146
0,0,6.8850557e-07
1,1,0.9643416
0,0,4.597105e-06
0,0,0.0005137814
1,0,2.1118308e-06
0,0,0.28893626
0,0,4.7519366e-05
0,0,0.036106404
0,0,0.00010313123
0,0,1.722697e-05
0,0,0.00600909
0,0,3.1057893e-06
0,0,0.0002776818
0,0,7.073027e-05
0,1,0.98539793
0,0,1.7597791e-06
0,0,0.0020317102
1,1,0.592051
0,0,1.943834e-06
0,0,0.00028969755
0,0,8.216632e-06
0,0,5.5862223e-05
0,0,0.0002757041
0,0,0.00078354403
0,0,0.0038009358
0,0,0.00014762772
0,0,1.7281272e-05
0,0,0.34035048
0,0,2.2790671e-05
1,1,0.7890694
0,0,0.00011157539
0,0,2.2632043e-05
0,0,0.45727062
0,0,0.37744564
0,0,0.00277746
0,0,0.012891606
0,0,0.00012821941
0,0,8.234997e-06
0,0,0.007476394
0,0,4.374705e-05
0,0,3.474263e-05
0,0,0.00022762905
0,1,0.8163725
1,1,0.9986084
0,0,5.0077924e-05
0,0,3.8815113e-05
0,0,0.0008556266
0,0,1.0560214e-05
0,0,2.5101497e-05
0,0,0.0001406447
0,0,1.0000351e-05
0,0,1.4342879e-05
0,0,0.012179393
0,0,1.2818963e-05
0,0,0.002269313
0,0,1.4079061e-05
0,0,8.38801e-06
0,0,3.848494e-05
0,0,0.0011012433
0,0,0.0015267871
0,0,0.08979843
0,0,0.0019764642
0,0,0.010732792
0,0,3.9305296e-06
0,0,0.00015353663
0,0,0.00012960822
0,0,5.0444014e-05
0,0,0.00013667656
0,0,4.9143287e-06
0,0,7.388146e-05
0,0,6.274861e-07
0,0,0.00036692747
0,0,0.00408174
0,0,7.3079814e-06
0,0,0.00020624876
0,0,3.4040016e-07
0,0,6.0346956e-05
0,0,0.00082089525
0,0,0.00014278146
0,1,0.9783649
0,1,0.849716
0,0,0.008059879
0,0,3.276434e-06
0,0,0.0002076527
0,0,6.140178e-05
0,0,2.2751408e-05
1,1,0.7477742
0,0,2.5441599e-05
0,0,2.4035107e-06
0,0,9.2866474e-05
0,0,4.1013034e-05
0,0,0.0003211731
0,0,2.2600769e-05
1,1,0.99542254
0,0,0.00026207385
0,0,5.222666e-05
0,0,2.8106146e-05
0,0,5.1683845e-05
1,1,0.83036935
1,1,0.7192468
0,1,0.69344515
0,0,4.1325464e-05
0,1,0.8034031
0,0,6.126236e-06
0,0,0.42048866
0,0,6.133021e-05
0,0,0.030888552
0,0,2.4904308e-05
0,0,3.584109e-05
1,0,0.16773894
0,0,1.6099091e-05
0,0,3.6634334e-05
0,0,0.0011632694
0,0,3.0362091e-06
0,0,0.007804324
0,0,0.0014994293
0,0,2.1519889e-05
0,1,0.87840885
0,0,3.124763e-07
0,1,0.7603282
0,0,5.4372767e-06
0,0,0.0045335335
0,0,0.05088149
0,0,1.3465396e-05
1,0,0.106214836
0,0,0.009109749
0,0,7.337495e-05
0,0,1.727257e-06
0,0,3.4420922e-05
0,0,0.00052810233
0,0,6.462702e-07
0,0,4.4804924e-06
0,0,6.5318977e-06
1,1,0.9639306
1,1,0.9959518
1,1,0.98781294
0,0,3.1288262e-05
0,0,8.046244e-06
0,0,0.019178389
0,0,3.204788e-05
0,0,0.0011841401
1,1,0.99577636
1,1,0.83523524
0,0,0.0030678078
0,1,0.8956426
0,0,0.0005816019
1,1,0.86262846
0,0,0.0010074055
0,0,5.1552026e-05
0,1,0.62037724
0,0,0.00038923655
0,0,0.05016854
0,0,3.0572213e-05
0,0,0.00012933118
0,0,7.0448823e-06
0,0,0.00014208081
0,0,0.00022708235
0,0,0.00010969023
0,0,8.1865664e-07
0,0,0.0005505218
0,0,2.7796882e-06
0,0,1.7870068e-05
0,0,0.038041778
0,0,0.03581054
0,0,1.4714648e-06
1,1,0.97828203
1,1,0.99490803
0,1,0.72357273
1,1,0.86571705
0,0,0.06275286
0,0,0.19393708
0,0,0.0044906395
0,0,0.40499815
0,0,3.02612e-06
0,0,8.011031e-05
0,0,0.00087340927
1,1,0.99895716
0,0,1.220864e-06
0,0,0.007044107
1,0,0.42822778
0,0,0.0012466302
0,0,0.00051191845
0,0,0.001105049
0,0,7.9736674e-07
0,0,2.9769467e-06
1,1,0.9977697
0,0,0.00036803822
0,1,0.87688327
1,1,0.9895935
0,0,3.9411832e-05
0,0,0.00015961289
0,0,0.0010903323
0,0,9.974691e-06
1,1,0.811438
0,0,0.00047814025
0,0,9.006249e-05
0,0,0.0015426956
0,0,6.7928966e-05
0,0,1.0396871e-05
0,0,2.4586585e-05
0,0,1.9004401e-05
0,0,6.965357e-05
0,0,0.14371054
0,0,0.00015718697
0,0,1.6251743e-05
0,0,0.00017743965
0,0,1.4359481e-05
1,1,0.9850331
0,0,0.000107899854
0,0,5.7834023e-07
0,1,0.77377146
1,0,4.5985435e-06
0,0,0.010314358
0,0,1.1410552e-05
0,0,0.00024594003
0,0,0.050144207
0,0,0.030547088
1,1,0.9419061
1,1,0.66406995
0,0,0.0027720935
1,1,0.54652905
1,1,0.90372705
1,1,0.56807333
0,0,0.0076597324
0,0,4.4998137e-06
0,0,4.765912e-06
0,0,0.00030253842
0,0,0.03475175
0,0,2.5491041e-05
0,0,8.717093e-06
0,0,4.5195716e-06
0,0,0.00092977553
0,0,7.5263924e-05
0,0,0.00012166735
0,0,0.00027456068
0,0,4.841688e-05
0,0,0.00044483875
0,1,0.9579418
0,0,0.10124383
0,0,5.5833793e-06
0,1,0.9676367
0,0,0.0017246569
0,0,1.2878392e-05
0,0,7.8685116e-05
0,0,0.0057903337
0,0,4.3489035e-07
0,0,2.7109476e-07
0,0,4.8012214e-07
0,0,0.004087278
0,0,0.0046307403
0,0,0.14045008
0,0,0.003967986
0,0,0.20694718
0,0,8.301768e-06
1,1,0.75077647
0,0,9.333443e-05
0,0,0.0009931381
0,0,1.24180315e-05
0,1,0.9973386
0,0,0.046380747
0,0,0.0002995575
0,0,0.010300466
0,0,3.4411205e-06
0,0,0.0018358582
0,0,0.028692098
0,0,2.2390072e-06
1,1,0.90168023
0,0,0.0014503883
0,0,0.000753154
0,0,0.0034157431
0,0,5.7435336e-05
1,1,0.9770653
0,0,2.1326254e-05
0,0,0.0002617063
0,0,0.0003110992
0,0,0.0005294742
1,0,0.44761992
0,0,5.853116e-06
0,0,0.003213546
0,0,0.002942147
1,0,0.044854164
1,1,0.67052686
0,0,6.736291e-05
0,0,1.9404168e-05
0,0,2.9200055e-06
0,0,4.6629335e-05
1,0,0.02619186
1,1,0.7932445
0,0,1.2966753e-05
0,1,0.71121246
1,1,0.9266827
0,0,0.010278062
0,0,0.00026155962
0,0,0.00046460086
0,0,1.0504442e-06
1,1,0.9972499
0,0,5.3329062e-05
0,0,7.4869786e-05
0,0,0.00023246618
0,0,0.059750784
1,1,0.97032714
0,0,1.6665517e-06
0,0,0.008263489
0,0,0.0042279647
0,0,6.2994714e-06
0,0,1.5489913e-05
0,0,7.359526e-06
0,0,0.0030000012
0,0,0.00016699637
0,0,4.7455243e-05
0,0,3.7462705e-05
0,0,2.4841074e-05
0,0,5.4356906e-06
0,0,0.00091983675
0,0,0.01201499
0,0,0.0050597894
0,0,8.6056825e-06
0,0,1.9321462e-05
0,0,0.36942676
0,0,1.864282e-06
0,0,9.3833994e-05
0,1,0.7143352
0,0,0.0038797378
0,1,0.5017395
0,0,0.000104598614
0,0,2.108572e-05
0,0,5.0107825e-05
0,0,4.202805e-05
0,0,2.5133786e-05
0,1,0.9048115
0,0,0.022668654
0,0,1.4993529e-05
0,0,0.0008573822
1,0,0.4751124
0,0,0.00016771974
0,0,1.83756e-05
0,0,2.9961644e-05
1,0,0.012944316
0,0,0.0016148977
0,0,0.0027624234
1,0,0.050923407
0,0,3.7903923e-05
1,1,0.97815984
0,0,7.095654e-06
0,0,1.3746827e-05
0,0,0.00076010585
0,0,0.00019532742
0,1,0.85667837
0,0,0.011959386
0,0,0.00018560939
0,0,0.13672888
0,0,0.021852588
1,0,0.068558164
1,0,0.24665517
0,0,7.538963e-05
0,1,0.661119
1,0,0.0004292105
0,0,0.0012534998
0,1,0.7404497
0,0,8.281312e-06
0,0,0.0002059634
0,0,3.0933154e-06
0,0,2.4645617e-06
0,0,0.00044130633
0,0,8.200523e-05
0,0,0.0036587461
0,0,1.5732221e-05
1,1,0.96666294
0,0,3.984051e-06
0,0,0.00018725349
0,0,4.6477944e-05
0,0,2.7932734e-05
1,0,0.08850863
0,0,0.00052873284
0,0,0.04690224
0,0,8.0096404e-05
0,0,0.0007193264
1,1,0.8799174
0,0,0.0041391854
0,0,3.2235406e-05
1,0,0.10723234
0,0,3.2887223e-05
1,0,0.2977703
0,0,0.00012298931
0,0,0.0011739213
0,0,0.0027462766
0,0,4.923533e-05
0,0,0.0006299399
0,0,0.033070773
0,0,0.00024106748
0,0,0.002305724
0,0,0.11840755
0,0,1.507492e-06
0,0,0.00025694002
0,0,0.0002251268
1,1,0.92729527
0,0,0.0006942701
1,0,0.00927809
0,0,6.832271e-07
0,0,6.001731e-05
0,0,2.400723e-06
0,0,5.655896e-05
0,0,0.0019775133
0,0,5.5887062e-06
1,0,0.00025942796
0,0,5.4510147e-06
0,0,4.5156507e-06
0,0,2.395899e-05
1,0,0.00067311997
1,1,0.65547746
0,0,1.4655697e-05
0,0,0.0010597233
0,0,0.022990832
1,0,0.30437562
0,0,4.8926326e-05
1,0,0.004238364
0,0,0.016655931
0,0,9.175043e-05
1,0,0.023587948
0,0,1.865365e-05
0,0,0.05190474
1,1,0.99984777
0,0,0.11776216
0,0,1.0827557e-06
0,0,0.07092326
0,0,0.0022327458
1,0,0.060327396
1,1,0.9098286
0,0,0.00026768434
0,0,0.0069933394
0,1,0.8625845
0,0,0.033051323
0,0,4.30532e-06
1,1,0.9925633
1,1,0.57156545
0,1,0.9897558
0,0,6.103923e-06
0,0,0.0026716322
0,0,0.002278591
0,0,4.4160595e-05
0,0,5.145802e-06
0,1,0.9673657
0,0,3.5159886e-05
0,0,0.00035575914
0,0,7.526156e-05
0,1,0.9968176
1,1,0.8598222
0,0,0.00029238578
0,0,0.0011836981
0,0,0.06872042
1,0,2.6848078e-05
1,1,0.9902062
1,0,0.47976822
1,0,0.002905739
0,0,7.988397e-05
0,0,0.18058445
0,0,0.11728671
1,0,0.00076163746
0,0,7.481354e-05
0,0,0.0011778034
1,1,0.9795354
0,0,0.00041053767
1,1,0.61607635
0,0,8.060057e-05
0,0,0.0010427207
0,0,0.0021031077
0,0,0.00019536617
0,0,3.974382e-07
0,0,5.5278775e-05
0,0,7.178434e-07
0,0,1.1760336e-05
0,0,6.0454236e-06
1,1,0.9956655
0,0,0.0056313095
0,0,7.074668e-07
0,0,0.043485243
0,0,0.0047142645
0,0,2.2657414e-06
0,0,0.003120369
1,0,0.00081623934
0,0,2.5960549e-06
0,0,6.9441535e-07
0,0,0.070609584
0,1,0.9509612
0,0,0.014298021
0,0,1.8791186e-06
1,1,0.8628638
0,0,7.175907e-06
0,0,4.0775183e-05
0,0,0.0031330762
0,0,0.009566653
1,1,0.92731047
1,1,0.997148
0,0,0.01430972
0,0,1.7218827e-05
0,0,0.4332266
1,1,0.96639395
0,1,0.8629641
0,0,0.0038474037
1,1,0.9983718
0,1,0.9216121
0,0,2.3516338e-06
0,0,0.0011065208
0,1,0.6782759
0,0,5.8053894e-05
0,0,1.4605384e-05
0,0,3.039575e-05
0,0,0.023375463
0,0,0.00010938293
0,1,0.56215864
0,0,0.015513585
0,0,5.550443e-05
0,0,0.048104957
0,0,6.367442e-05
0,1,0.9249271
0,0,0.0020245844
0,0,2.2327808e-06
0,0,4.7673097e-05
0,0,0.47948298
0,0,0.0011267816
0,0,0.0004211744
0,0,0.0012110325
1,1,0.9728158
0,0,8.8791385e-05
0,0,0.0006276721
0,0,9.047534e-05
0,0,8.893697e-05
0,0,7.098636e-05
1,0,0.0032910923
0,0,3.9847724e-05
0,0,0.0045486544
0,0,0.0033492164
0,0,1.5678914e-05
0,0,0.0033077425
0,0,0.015405678
0,0,0.016596774
0,0,0.07039229
0,0,8.802786e-07
0,0,0.023421785
0,0,0.107593454
0,0,3.6465526e-06
0,0,3.215515e-05
0,0,1.674943e-05
1,0,0.022533575
1,1,0.5205951
0,0,0.16086918
0,0,0.00020458394
0,0,0.0028969129
0,0,0.0011248057
0,0,0.00083023217
0,0,4.2138945e-06
0,0,1.7438648e-05
0,0,0.0004486168
0,0,2.4679255e-05
0,0,6.456834e-06
0,0,0.00016773766
0,1,0.9997826
0,0,0.0019923844
0,0,0.0003388607
0,1,0.78239715
0,0,9.66768e-05
0,0,7.518057e-05
1,1,0.99701273
0,0,0.001246742
0,0,0.00056207494
0,0,0.00015223176
0,0,0.0006055223
0,0,0.41964513
0,0,2.4869516e-05
0,0,2.554223e-06
0,0,0.0004717921
0,0,2.0116863e-06
1,0,0.40646964
0,0,1.9690785e-07
0,0,7.0214664e-06
0,0,0.0024448072
0,0,0.00022538756
0,0,1.3210656e-07
0,0,0.0006488285
0,0,0.0004981369
0,0,4.0326726e-05
0,0,8.8238573e-07
0,0,3.522982e-07
0,0,1.7310864e-05
0,0,0.0018232414
0,0,1.9027058e-06
0,0,5.4642303e-05
0,0,0.014252803
1,0,0.18264654
0,0,0.002607403
0,1,0.9547042
1,1,0.56152445
0,0,0.000103078724
0,0,5.275767e-05
0,0,0.023201004
0,0,0.00015929392
0,0,2.5061077e-05
0,0,0.00026025515
0,0,0.0014750395
0,0,0.00013815801
0,0,0.025247848
0,0,5.7648245e-05
1,1,0.868412
0,0,0.004180642
1,1,0.8868099
0,0,2.2898666e-06
0,0,0.00095838815
0,0,9.949164e-07
0,0,2.8730549e-06
0,1,0.9995474
0,0,0.00032263395
0,0,3.275323e-07
0,0,0.021343678
0,0,0.00028244875
0,0,0.0048751216
0,0,0.00024092454
0,0,0.00048635347
0,0,0.05014219
0,0,0.00027747566
0,0,1.2706113e-05
1,0,0.00021841523
0,0,0.0064136623
0,0,0.00016608123
0,0,0.0014243665
0,0,1.0666918e-05
0,0,0.00012679952
0,0,0.047774862
0,0,1.099402e-05
0,0,5.2788587e-06
0,0,3.1377727e-05
0,0,9.319741e-06
0,0,8.8110755e-07
0,0,7.1160653e-06
0,0,0.0004500474
0,0,4.8454804e-05
0,0,4.1088624e-05
0,0,2.632589e-05
1,0,6.392801e-05
0,0,2.932524e-05
0,0,5.78833e-08
1,0,0.35227922
0,0,0.000246617
0,0,0.0021201863
1,0,0.003241448
0,0,0.00015044514
0,0,1.0750834e-05
0,0,0.0009449922
0,0,1.8813364e-05
0,0,0.0002282134
0,0,1.5074244e-06
0,0,0.0016393695
0,0,3.1826746e-06
1,0,0.17992754
0,0,0.0042897887
0,0,0.0185212
0,0,3.0604333e-06
0,0,0.0016322776
1,1,0.92667276
0,0,1.8304692e-05
0,0,0.00031601512
0,0,0.023398774
1,0,0.0023957186
0,0,1.634999e-05
1,1,0.8398227
0,0,0.006681195
0,0,2.5985887e-06
0,0,0.0001462655
0,0,0.17402503
0,0,8.194181e-06
0,0,0.025511092
0,0,6.34795e-05
0,0,0.0014055463
0,0,3.676218e-05
0,0,0.00079171977
0,0,2.5653851e-05
0,0,0.00065676955
0,0,1.9521603e-05
0,0,2.6224283e-05
0,0,1.7183624e-05
0,0,3.2839904e-05
0,0,0.0077468334
1,0,0.10976708
1,1,0.7397013
1,1,0.79609156
0,0,0.022716487
0,0,0.0002556913
0,0,0.00049284153
0,0,0.11181083
0,0,0.00038551728
0,0,0.051645566
0,0,0.00068090856
0,1,0.84731
0,0,0.0010203619
0,0,0.00017883704
1,0,0.011188028
0,0,0.001291826
0,0,0.002825379
0,0,0.0038745352
0,0,3.1474804e-06
1,0,0.0025571464
1,1,0.9974668
1,1,0.9104536
0,0,1.1830936e-05
0,0,3.3674034e-05
0,0,8.338449e-06
0,0,0.00010637905
0,0,4.0156924e-06
0,0,2.2842589e-05
0,0,5.339031e-06
0,0,3.7286634e-05
0,0,0.0039442712
0,0,8.284135e-05
0,0,8.7092594e-05
0,0,3.6325968e-05
0,0,1.695571e-05
0,0,1.0623239e-06
0,0,0.00030127168
0,0,2.2161048e-06
0,0,2.089966e-06
1,1,0.9763649
0,0,6.588249e-05
0,0,0.00043382536
0,0,3.390339e-05
1,1,0.96406174
0,0,1.5435827e-06
1,0,0.00032424813
0,0,1.4660646e-05
0,0,1.6452344e-05
0,0,0.0014725429
0,0,0.0016022301
0,1,0.9039358
1,1,0.914071
0,1,0.6710287
1,0,0.14551097
1,1,0.9237138
0,0,0.028425997
0,0,0.009168262
0,0,5.4822117e-06
0,0,3.7702905e-06
0,0,0.3332171
0,0,0.015081763
0,0,5.4718903e-06
0,0,0.0006657759
0,0,0.00012723071
0,0,9.2178394e-05
0,0,0.00026533657
0,0,0.23722781
1,1,0.7518426
0,0,1.3418541e-05
0,0,0.00049812836
0,0,3.1411913e-05
0,0,0.121904485
0,0,0.0017505543
0,0,0.00016072718
0,0,0.00019339417
0,0,0.009219801
0,0,0.00020205411
0,0,0.11477784
0,0,7.664937e-06
0,0,0.0016812186
0,0,0.0005353252
0,0,0.00034061327
0,0,1.676375e-05
0,0,0.0072434163
0,0,1.0383237e-05
0,0,1.3819277e-05
0,0,0.00046386092
1,1,0.9191773
0,0,0.04092708
0,0,4.702256e-05
1,0,0.06446326
0,0,1.3652765e-06
0,0,1.1294408e-05
1,1,0.98902684
0,0,0.3884526
1,0,0.0011413483
0,0,0.00023808361
0,0,0.00023713778
0,0,0.0047157994
0,0,0.00017289718
1,0,0.13696072
